point;num_day;day;LeqA
P1;3;Wednesday;67.3
P1;4;Thursday;66.6
P1;5;Friday;67.7
P1;6;Saturday;68.8
P1;7;Sunday;66
P1;1;Monday;66.2
P1;2;Tuesday;69.3
P1;3;Wednesday;67.8
P1;4;Thursday;66.6
P1;5;Friday;67.6
P1;6;Saturday;67.9
P1;7;Sunday;72.1
P1;1;Monday;64.9
P1;2;Tuesday;66.3
P2;4;Thursday;71.2
P2;5;Friday;71.8
P2;6;Saturday;72.9
P2;7;Sunday;69.5
P2;1;Monday;70.2
P2;2;Tuesday;69.6
P3;3;Wednesday;61.5
P3;4;Thursday;61.9
P3;5;Friday;62.1
P3;6;Saturday;66.8
P3;7;Sunday;60.1
P3;1;Monday;62.2
P3;2;Tuesday;61.6
P4;2;Tuesday;71.5
P4;3;Wednesday;71.6
P4;4;Thursday;72.9
P4;5;Friday;72.4
P4;6;Saturday;72.3
P4;7;Sunday;70.6
P4;1;Monday;70.9
P4;2;Tuesday;72.3
P4;3;Wednesday;72.3
P4;4;Thursday;72.3
P4;5;Friday;71.9
P4;6;Saturday;71.6
P4;7;Sunday;70.8
P4;1;Monday;73.1
P4;2;Tuesday;70.7
P4;3;Wednesday;71.9
P4;4;Thursday;72.3
P4;5;Friday;72
P4;6;Saturday;71.2
P4;7;Sunday;68.9
P4;1;Monday;71.2
P4;2;Tuesday;72.3
P4;3;Wednesday;71.9
P5;4;Thursday;67.2
P5;5;Friday;68.4
P5;6;Saturday;67.7
P5;7;Sunday;69.1
P5;1;Monday;68.4
P5;2;Tuesday;67.5
P5;3;Wednesday;69.6
P6;4;Thursday;69.2
P6;5;Friday;69.2
P6;6;Saturday;68.5
P6;7;Sunday;68.1
P6;1;Monday;68.4
P6;2;Tuesday;71.3
P6;3;Wednesday;69.1
P7;4;Thursday;60
P7;5;Friday;60.8
P7;6;Saturday;62.3
P7;7;Sunday;60.6
P7;1;Monday;58.7
P7;2;Tuesday;60.6
P7;3;Wednesday;60.3
P8;4;Thursday;66.4
P8;5;Friday;71.5
P8;6;Saturday;65
P8;7;Sunday;66.5
P8;1;Monday;65.7
P8;2;Tuesday;65.9
P8;3;Wednesday;66
P9;1;Monday;62.6
P9;2;Tuesday;62.9
P9;3;Wednesday;62.7
P9;4;Thursday;63.4
P9;5;Friday;66.4
P9;6;Saturday;68
P9;7;Sunday;61.8
P10;7;Sunday;64.2
P10;1;Monday;65.5
P10;2;Tuesday;64.7
P10;3;Wednesday;65.8
P10;4;Thursday;66.3
P10;5;Friday;64.6
P10;6;Saturday;66.6
P11;4;Thursday;53.5
P11;5;Friday;55.3
P11;6;Saturday;54
P11;7;Sunday;54.4
P11;1;Monday;54.3
P11;2;Tuesday;56.4
P11;3;Wednesday;54
P12;1;Monday;68.8
P12;2;Tuesday;69.1
P12;3;Wednesday;68.7
P12;4;Thursday;69.4
P12;5;Friday;69.6
P13;1;Monday;67.8
P13;2;Tuesday;67.9
P13;3;Wednesday;68
P13;4;Thursday;68.6
P13;5;Friday;71.8
P14;4;Thursday;63.5
P14;5;Friday;65.9
P14;6;Saturday;64.9
P14;7;Sunday;62.6
P14;1;Monday;63.4
P14;2;Tuesday;64.8
P14;3;Wednesday;63
P15;4;Thursday;65.5
P15;5;Friday;65.9
P15;6;Saturday;65
P15;7;Sunday;65.3
P15;1;Monday;63.7
P15;2;Tuesday;64.6
P15;3;Wednesday;67.4
P16;4;Thursday;69.5
P16;5;Friday;68.1
P16;6;Saturday;68.2
P16;7;Sunday;68.3
P16;1;Monday;66.8
P16;2;Tuesday;68.6
P16;3;Wednesday;68.5
P17;4;Thursday;61.3
P17;5;Friday;61.7
P17;6;Saturday;61.3
P17;7;Sunday;58.6
P17;1;Monday;59.9
P17;2;Tuesday;61.1
P17;3;Wednesday;59.6
P17;4;Thursday;60.4
P18;3;Wednesday;71.3
P18;4;Thursday;72.5
P18;5;Friday;72.2
P18;6;Saturday;71.6
P18;7;Sunday;70.8
P18;1;Monday;70.6
P18;2;Tuesday;70.2
P19;2;Tuesday;64.6
P19;3;Wednesday;65.2
P19;4;Thursday;69.2
P19;5;Friday;66.4
P19;6;Saturday;66
P19;7;Sunday;65.6
P19;1;Monday;64.1
P20;4;Thursday;64.6
P20;5;Friday;64.9
P20;6;Saturday;64.2
P20;7;Sunday;64.8
P20;1;Monday;65.6
P20;2;Tuesday;65.9
P20;3;Wednesday;65.7
P20;4;Thursday;65.1
