point;num_day;day;LeqA;L1;L10;L50;L90
P1;3;Wednesday;67.3;70.7;70.7;66.9;65.1
P1;4;Thursday;66.6;68.2;68.2;67.1;64.5
P1;5;Friday;67.7;68.6;68.6;67.3;66.8
P1;6;Saturday;68.8;71.7;71.7;68;67
P1;7;Sunday;66;68.3;68.3;65.8;63.8
P1;1;Monday;66.2;67.3;67.3;66.5;63.1
P1;2;Tuesday;69.3;73.5;73.5;68.5;66.8
P1;3;Wednesday;67.8;70.9;70.9;67.3;65.1
P1;4;Thursday;66.6;68.1;68.1;66.9;63.5
P1;5;Friday;67.6;68.5;68.5;67.5;66.7
P1;6;Saturday;67.9;68.9;68.9;67.8;66.6
P1;7;Sunday;72.1;79.9;79.9;66;64.4
P1;1;Monday;64.9;67.1;67.1;64.7;63.4
P1;2;Tuesday;66.3;68.3;68.3;66;64.6
P3;3;Wednesday;61.5;63;63;61.5;58.4
P3;4;Thursday;61.9;65.1;65.1;60.3;59
P3;5;Friday;62.1;64;64;62.2;60
P3;6;Saturday;66.8;74.2;74.2;62.8;60.7
P3;7;Sunday;60.1;61.7;61.7;59.8;58
P3;1;Monday;62.2;69.1;69.1;59.7;55.1
P3;2;Tuesday;61.6;63.5;63.5;61.1;58.5
P6;4;Thursday;69.2;76.9;72.9;66.2;50.5
P6;5;Friday;69.2;77.2;73;66;50.9
P6;6;Saturday;68.5;76.3;72.4;65;56
P6;7;Sunday;68.1;77.6;72.4;62.9;50
P6;1;Monday;68.4;78.1;72.4;63.5;50.8
P6;2;Tuesday;71.3;79.1;72.5;64.6;55.5
P6;3;Wednesday;69.1;77.7;73.1;65.6;49.2
P9;1;Monday;62.6;72.7;65.5;57.1;49.3
P9;2;Tuesday;62.9;73.2;66.3;59.1;52
P9;3;Wednesday;62.7;72.7;65.7;59;51.8
P9;4;Thursday;63.4;73.4;66.8;59.5;52.1
P9;5;Friday;66.4;74.4;68.6;64.3;59
P9;6;Saturday;68;77.3;68.6;64.1;58.6
P9;7;Sunday;61.8;68.5;66.9;58.3;53.7
P11;4;Thursday;53.5;56.2;56.2;53.9;49.3
P11;5;Friday;55.3;57.7;57.7;54.8;51.8
P11;6;Saturday;54;55.3;55.3;53.8;52.2
P11;7;Sunday;54.4;59.6;59.6;52.2;48.7
P11;1;Monday;54.3;60.5;60.5;51.9;47.4
P11;2;Tuesday;56.4;58.3;58.3;56.4;53.6
P11;3;Wednesday;54;57.4;57.4;53.5;46.6
P12;5;Friday;69.6;77;71.9;66.2;56.2
P13;1;Monday;67.8;76.2;71.3;63.3;54.2
P13;2;Tuesday;67.9;75.6;71.5;64.3;55.5
P13;3;Wednesday;68;76.5;71.5;64.9;56.2
P13;4;Thursday;68.6;77.1;72;65.7;56.7
P13;5;Friday;71.8;82.1;74.2;66.7;59.2
P14;4;Thursday;63.5;72.8;68.1;54.8;47.2
P14;5;Friday;65.9;73.8;69.4;63.6;56.6
P14;6;Saturday;64.9;72.8;68.7;61;53.7
P14;7;Sunday;62.6;71.6;68;52.4;48.2
P14;1;Monday;63.4;73.6;68.6;52.7;46
P14;2;Tuesday;64.8;75.1;69.7;53.9;47.1
P14;3;Wednesday;63;73.2;68.5;52.3;45.7
P17;4;Thursday;61.3;64.6;64.6;56.9;46.2
P17;5;Friday;61.7;64.4;64.4;57.2;49.8
P17;6;Saturday;61.3;63.3;63.3;57.9;51.8
P17;7;Sunday;58.6;63.6;63.6;53;49
P17;1;Monday;59.9;63.5;63.5;57.5;52.1
P17;2;Tuesday;61.1;63.1;63.1;55.6;53.4
P17;3;Wednesday;59.6;62.9;62.9;56.2;50
P17;4;Thursday;60.4;63.3;63.3;58;47.7
P19;2;Tuesday;64.6;66;66;64.7;61.6
P19;3;Wednesday;65.2;66.8;66.8;65.6;63.2
P19;4;Thursday;69.2;74;74;67.8;65.7
P19;5;Friday;66.4;68.7;68.7;65.9;64.5
P19;6;Saturday;66;66.7;66.7;66;65.5
P19;7;Sunday;65.6;70.6;70.6;64.5;61.9
P19;1;Monday;64.1;66.6;66.6;64.1;62.4
P20;4;Thursday;64.6;76.3;67.6;56.8;48.2
P20;5;Friday;64.9;75.7;68.5;59.3;48.4
P20;6;Saturday;64.2;73.8;67.9;58.5;49.5
P20;7;Sunday;64.8;75.1;68.1;57.6;51.8
P20;1;Monday;65.6;77.3;67.5;55.2;47.2
P20;2;Tuesday;65.9;77.9;67.9;55.6;48
P20;3;Wednesday;65.7;77.5;68.7;56.5;48.5
P20;4;Thursday;65.1;76.5;68.9;58;50.1
