point;time;Leq;L5;L10;L50;L90;condition
P1;0;67.79;73.09;72.72;66.25;60.61;Without fireworks
P1;1;71.43;74.77;73.89;71.43;60.41;Without fireworks
P1;2;69.33;72.93;72.62;69.77;59.88;Without fireworks
P1;3;71.52;74.21;74.12;71.23;67.99;Without fireworks
P1;4;69.57;74.2;72.63;67.92;63.22;Without fireworks
P1;5;72.23;76.47;75.12;71.21;61.14;Without fireworks
P1;6;70.85;73.41;73.17;71.01;59.61;Without fireworks
P1;7;69.34;72.78;72.4;69.2;61.61;Without fireworks
P1;8;67.2;71.97;71.05;62.29;56.77;Without fireworks
P1;9;70.42;74.58;74.1;70.3;59.52;Without fireworks
P1;10;71.75;76.1;74.44;71.41;58.82;Without fireworks
P1;11;68.29;73.4;73.07;64.73;59.76;Without fireworks
P1;12;69.6;73.43;72.61;68.07;64.49;Without fireworks
P1;13;70.22;73.99;73.62;68.78;62.06;Without fireworks
P1;14;75.25;82.07;74.65;69.73;60.7;Without fireworks
P1;15;68.44;73.36;73.27;63.27;58.37;Without fireworks
P1;16;68;71.1;71;66.24;59.87;Without fireworks
P1;17;71.76;75.41;74.82;70.87;66.43;Without fireworks
P1;18;72.77;76.58;74.56;71.59;69.02;Without fireworks
P1;19;71.47;75.49;74.87;69.64;65.79;Without fireworks
P1;20;68.9;72.32;71.9;67.48;63.3;Without fireworks
P1;21;72.21;75.31;74.61;72.77;63.81;Without fireworks
P1;22;72.14;76.62;74.65;71.78;64.53;Without fireworks
P1;23;69.08;74.36;73.37;63.82;56.95;Without fireworks
P1;24;69.41;73.32;71.81;63.31;57.29;Without fireworks
P1;25;70.05;73.84;73.57;67.9;60.77;Without fireworks
P1;26;72.56;75.44;75.09;72.04;66.88;Without fireworks
P1;27;67.39;72.68;72.18;63.29;61.15;Without fireworks
P1;28;67.06;69.79;69.24;66.29;63.54;Without fireworks
P1;29;69.63;73.63;72.84;68.5;63.28;Without fireworks
P1;30;72.6;76.1;75.66;73.02;60.72;Without fireworks
P1;31;72.1;76.95;76.43;70.14;65.09;Without fireworks
P1;32;69.05;72.58;72.36;67.2;64.45;Without fireworks
P1;33;73.04;76.01;75.9;72.9;68.6;Without fireworks
P1;34;72.31;76.38;75.51;71.44;62.25;Without fireworks
P1;35;70.42;76.18;75.87;65.07;57.53;Without fireworks
P1;36;69.78;73.74;73;66.49;59.08;Without fireworks
P1;37;72.83;77.08;75.98;70.72;60.97;Without fireworks
P1;38;70.42;74.47;73.72;69.59;58.28;Without fireworks
P1;39;68.81;75.01;73.25;62.71;57.35;Without fireworks
P1;40;69.59;73.57;73.31;68.25;58.6;Without fireworks
P1;41;73.52;78;77.63;72.41;61.66;Without fireworks
P1;42;69.9;74.71;74.15;67.73;58.8;Without fireworks
P1;43;69.47;75.12;74.91;63.3;59.29;Without fireworks
P1;44;69.9;74.69;74.24;66.05;60.07;Without fireworks
P1;45;71.61;74.87;74.55;71.17;61.57;Without fireworks
P1;46;69.59;72.9;72.35;70.02;61.09;Without fireworks
P1;47;68.39;74.54;72.22;63.89;58.23;Without fireworks
P1;48;67.24;73.32;70.5;64.1;55.44;Without fireworks
P1;49;71.68;75.36;75.15;71.19;60.11;Without fireworks
P1;50;71.06;75.23;74.33;69.72;57.08;Without fireworks
P1;51;69.04;74.5;74.25;63.23;57.63;Without fireworks
P1;52;68.64;73.37;72.99;63.85;56.82;Without fireworks
P1;53;70.51;74.91;74.49;68.97;58.89;Without fireworks
P1;54;70.42;73.95;73.39;70.9;64.62;Without fireworks
P1;55;70.68;75.77;75.44;64.42;60.41;Without fireworks
P1;56;97.07;102.72;101.42;94.13;90.61;With fireworks
P1;57;90.97;93.92;93.64;89.17;85.39;With fireworks
P1;58;88.12;93.72;90.05;86.51;83.86;With fireworks
P1;59;90.58;97.15;94.99;85.49;83.02;With fireworks
P1;60;88.88;92.17;91.69;88.29;83.39;With fireworks
P1;61;88.09;92.12;90.37;86.43;82.04;With fireworks
P1;62;88.73;94.29;92.86;85.52;82.04;With fireworks
P1;63;92.36;98.22;95.48;89.93;81.85;With fireworks
P1;64;89.35;93.25;92.53;87.14;82.81;With fireworks
P1;65;86.35;90.99;90.24;83.67;80.33;With fireworks
P1;66;86.64;91.22;90.38;84.46;81.4;With fireworks
P1;67;88.42;92.86;92.01;85.85;80.47;With fireworks
P1;68;86.47;89.86;89.19;86.24;81.33;With fireworks
P1;69;86.56;91.98;89.47;84.78;79.73;With fireworks
P1;70;84.42;88.74;87.98;82.74;78.07;With fireworks
P1;71;90.25;97.72;95.36;83.09;77.67;With fireworks
P1;72;83.73;88.43;87.19;81.34;75.72;With fireworks
P1;73;90.93;98.3;95.31;82.15;77.5;With fireworks
P1;74;93.39;98.65;97.19;89.69;84.02;With fireworks
P1;75;82.96;86.07;84.65;82.26;80.63;Without fireworks
P1;76;83.06;85.98;85.57;81.85;80.2;Without fireworks
P1;77;81.14;82.79;82.47;80.93;79.57;Without fireworks
P1;78;80.43;81.93;81.55;80.34;79.46;Without fireworks
P1;79;79.82;81.23;80.79;79.66;78.6;Without fireworks
P1;80;79.05;81.68;80.45;78.63;77.25;Without fireworks
P1;81;81.11;84.46;83.14;80.48;78.5;Without fireworks
P1;82;79.38;81.39;80.86;79.03;77.87;Without fireworks
P1;83;81.16;82.6;81.91;79.06;77.71;Without fireworks
P1;84;80.07;84.01;80.96;78.8;77.87;Without fireworks
P1;85;79.35;80.76;80.44;79.02;77.41;Without fireworks
P1;86;79.22;80.78;80.37;78.79;77.74;Without fireworks
P1;87;79.97;82.06;81.7;79.16;77.65;Without fireworks
P1;88;77.81;79.75;79.6;77.39;76.08;Without fireworks
P1;89;78.28;79.21;79.15;78.27;76.81;Without fireworks
P1;90;77.38;78.83;78.49;77.14;76.38;Without fireworks
P1;91;77.3;78.47;78.16;77.17;76.15;Without fireworks
P1;92;77.37;78.77;78.69;77.1;76.29;Without fireworks
P1;93;78.23;79.97;79.6;78;76.82;Without fireworks
P1;94;77.69;78.92;78.73;77.64;76.41;Without fireworks
P1;95;77.59;79.44;78.48;77.53;76.07;Without fireworks
P1;96;79.15;81.55;80.9;78.37;77.25;Without fireworks
P1;97;78.56;80.67;79.61;78.08;76.96;Without fireworks
P1;98;79.36;82.75;82.09;77.91;76.57;Without fireworks
P1;99;78.77;81.86;80.36;78.07;76.29;Without fireworks
P1;100;78.14;79.86;79.51;77.62;76.23;Without fireworks
P1;101;78.98;81.95;80.56;78.55;77.07;Without fireworks
P1;102;78.51;80.37;80.04;78.01;76.68;Without fireworks
P1;103;77.86;79.69;79.28;77.28;76.18;Without fireworks
P1;104;77.3;79.32;78.26;76.88;75.52;Without fireworks
P1;105;78.13;81.3;79.68;77.7;76.07;Without fireworks
P1;106;80.02;83.29;82.79;78.07;75.93;Without fireworks
P1;107;77.73;81.44;78.88;76.54;75.14;Without fireworks
P1;108;76.68;79.44;78.75;75.97;73.81;Without fireworks
P1;109;77.18;79.51;78.8;76.76;74.95;Without fireworks
P1;110;77.05;79.27;78.52;76.26;75.12;Without fireworks
P1;111;76.7;79.81;77.56;76.19;74.97;Without fireworks
