punto;numero_dia;dia;LeqA
1;3;Miercoles;67.3
1;4;Jueves;66.6
1;5;Viernes;67.7
1;6;Sabado;68.8
1;7;Domingo;66
1;1;Lunes;66.2
1;2;Martes;69.3
1;3;Miercoles;67.8
1;4;Jueves;66.6
1;5;Viernes;67.6
1;6;Sabado;67.9
1;7;Domingo;72.1
1;1;Lunes;64.9
1;2;Martes;66.3
2;4;Jueves;71.2
2;5;Viernes;71.8
2;6;Sabado;72.9
2;7;Domingo;69.5
2;1;Lunes;70.2
2;2;Martes;69.6
3;3;Miercoles;61.5
3;4;Jueves;61.9
3;5;Viernes;62.1
3;6;Sabado;66.8
3;7;Domingo;60.1
3;1;Lunes;62.2
3;2;Martes;61.6
4;2;Martes;71.5
4;3;Miercoles;71.6
4;4;Jueves;72.9
4;5;Viernes;72.4
4;6;Sabado;72.3
4;7;Domingo;70.6
4;1;Lunes;70.9
4;2;Martes;72.3
4;3;Miercoles;72.3
4;4;Jueves;72.3
4;5;Viernes;71.9
4;6;Sabado;71.6
4;7;Domingo;70.8
4;1;Lunes;73.1
4;2;Martes;70.7
4;3;Miercoles;71.9
4;4;Jueves;72.3
4;5;Viernes;72
4;6;Sabado;71.2
4;7;Domingo;68.9
4;1;Lunes;71.2
4;2;Martes;72.3
4;3;Miercoles;71.9
5;4;Jueves;67.2
5;5;Viernes;68.4
5;6;Sabado;67.7
5;7;Domingo;69.1
5;1;Lunes;68.4
5;2;Martes;67.5
5;3;Miercoles;69.6
6;4;Jueves;69.2
6;5;Viernes;69.2
6;6;Sabado;68.5
6;7;Domingo;68.1
6;1;Lunes;68.4
6;2;Martes;71.3
6;3;Miercoles;69.1
7;4;Jueves;60
7;5;Viernes;60.8
7;6;Sabado;62.3
7;7;Domingo;60.6
7;1;Lunes;58.7
7;2;Martes;60.6
7;3;Miercoles;60.3
8;4;Jueves;66.4
8;5;Viernes;71.5
8;6;Sabado;65
8;7;Domingo;66.5
8;1;Lunes;65.7
8;2;Martes;65.9
8;3;Miercoles;66
9;1;Lunes;62.6
9;2;Martes;62.9
9;3;Miercoles;62.7
9;4;Jueves;63.4
9;5;Viernes;66.4
9;6;Sabado;68
9;7;Domingo;61.8
10;7;Domingo;64.2
10;1;Lunes;65.5
10;2;Martes;64.7
10;3;Miercoles;65.8
10;4;Jueves;66.3
10;5;Viernes;64.6
10;6;Sabado;66.6
11;4;Jueves;53.5
11;5;Viernes;55.3
11;6;Sabado;54
11;7;Domingo;54.4
11;1;Lunes;54.3
11;2;Martes;56.4
11;3;Miercoles;54
12;1;Lunes;68.8
12;2;Martes;69.1
12;3;Miercoles;68.7
12;4;Jueves;69.4
12;5;Viernes;69.6
13;1;Lunes;67.8
13;2;Martes;67.9
13;3;Miercoles;68
13;4;Jueves;68.6
13;5;Viernes;71.8
14;4;Jueves;63.5
14;5;Viernes;65.9
14;6;Sabado;64.9
14;7;Domingo;62.6
14;1;Lunes;63.4
14;2;Martes;64.8
14;3;Miercoles;63
15;4;Jueves;65.5
15;5;Viernes;65.9
15;6;Sabado;65
15;7;Domingo;65.3
15;1;Lunes;63.7
15;2;Martes;64.6
15;3;Miercoles;67.4
16;4;Jueves;69.5
16;5;Viernes;68.1
16;6;Sabado;68.2
16;7;Domingo;68.3
16;1;Lunes;66.8
16;2;Martes;68.6
16;3;Miercoles;68.5
17;4;Jueves;61.3
17;5;Viernes;61.7
17;6;Sabado;61.3
17;7;Domingo;58.6
17;1;Lunes;59.9
17;2;Martes;61.1
17;3;Miercoles;59.6
17;4;Jueves;60.4
18;3;Miercoles;71.3
18;4;Jueves;72.5
18;5;Viernes;72.2
18;6;Sabado;71.6
18;7;Domingo;70.8
18;1;Lunes;70.6
18;2;Martes;70.2
19;2;Martes;64.6
19;3;Miercoles;65.2
19;4;Jueves;69.2
19;5;Viernes;66.4
19;6;Sabado;66
19;7;Domingo;65.6
19;1;Lunes;64.1
20;4;Jueves;64.6
20;5;Viernes;64.9
20;6;Sabado;64.2
20;7;Domingo;64.8
20;1;Lunes;65.6
20;2;Martes;65.9
20;3;Miercoles;65.7
20;4;Jueves;65.1
