Posicion;Latitud;Longitud;Barrio - Comuna;Fecha;Condicion
1;"34°36'17.36""S";"58°25'48.70""W";Almagro - Comuna 5 - N/AN;N/AN;Experimental
2;"34°36'9.02""S";"58°26'40.49""W";Villa Crespo - Comuna 15 - N/AN;N/AN;Experimental
3;"34°36'18.83""S";"58°27'11.23""W";Villa Crespo - Comuna 15 - N/AN;N/AN;Experimental
4;"34°36'33.77""S";"58°30'32.16""W";Villa Devoto - Comuna 11 - N/AN;N/AN;Experimental
5;"34°37'13.1""S";"58°31'4.3""W";Villa Real - Comuna 10 - N/AN;N/AN;Experimental
6;"34°37'7.47""S";"58°30'6.21""W";Monte Castro - Comuna 10 - N/AN;N/AN;Experimental
7;"34°37'16.1""S";"58°29'26.3""W";Floresta - Comuna 10 - Navidad;Navidad;Experimental
8;"34°34'4.34""S";"58°29'45.20""W";Villa Urquiza - Comuna 12 - Navidad;Navidad;Experimental
7;"34°37'03.2""S";"58°26'52.6""W";Caballito - Comuna 6 - Año nuevo;Año nuevo;Experimental
8;"34°35'14.0""S";"58°26'38.6""W";Chacarita - Comuna 15 - Año nuevo;Año nuevo;Experimental
9;"34°34'33.5""S";"58°26'59.8""W";Colegiales - Comuna 13 - Año nuevo;Año nuevo;Experimental
1;"34°36'39.9""S";"58°25'46.5""W";APrA;Control;Control
2;"34°36'20.8""S";"58°26'47.4""W";APrA;Control;Control
3;"34°36'33.9""S";"58°26'57.7""W";APrA;Control;Control
4;"34°34'00.3""S";"58°30'13.5""W";APrA;Control;Control
5;"34°36'27.5""S";"58°30'40.6""W";APrA;Control;Control
6;"34°37'14.6""S";"58°30'25.1""W";APrA;Control;Control
7;"34°37'05.8""S";"58°30'07.2""W";APrA;Control;Control
8;"34°36'25.9""S";"58°27'51.2""W";APrA;Control;Control
9;"34°36'06.7""S";"58°31'11.9""W";APrA;Control;Control
10;"34°37'31.9""S";"58°30'35.8""W";APrA;Control;Control
11;"34°37'39.7""S";"58°29'55.4""W";APrA;Control;Control
12;"34°37'04.1""S";"58°29'15.4""W";APrA;Control;Control
13;"34°37'13.1""S";"58°27'13.3""W";APrA;Control;Control
14;"34°37'15.4""S";"58°26'41.0""W";APrA;Control;Control
15;"34°34'07.6""S";"58°29'18.0""W";APrA;Control;Control
16;"34°33'42.5""S";"58°29'29.5""W";APrA;Control;Control
17;"34°34'00.8""S";"58°30'13.0""W";APrA;Control;Control
18;"34°35'13.6""S";"58°26'43.9""W";APrA;Control;Control
19;"34°35'25.2""S";"58°25'57.3""W";APrA;Control;Control
20;"34°34'17.4""S";"58°27'30.7""W";APrA;Control;Control
21;"34°34'32.1""S";"58°26'53.0""W";APrA;Control;Control
