Posicion;Latitud;Longitud;Barrio - Comuna;Fecha;Condicion
1;"34°36'17.36""S";"58°25'48.70""W";Almagro - Comuna 5 - N/AN;Christmas/New Year;Experimental
2;"34°36'9.02""S";"58°26'40.49""W";Villa Crespo - Comuna 15 - N/AN;Christmas/New Year;Experimental
3;"34°36'18.83""S";"58°27'11.23""W";Villa Crespo - Comuna 15 - N/AN;Christmas/New Year;Experimental
4;"34°36'33.77""S";"58°30'32.16""W";Villa Devoto - Comuna 11 - N/AN;Christmas/New Year;Experimental
5;"34°37'13.1""S";"58°31'4.3""W";Villa Real - Comuna 10 - N/AN;Christmas/New Year;Experimental
6;"34°37'7.47""S";"58°30'6.21""W";Monte Castro - Comuna 10 - N/AN;Christmas/New Year;Experimental
7;"34°37'16.1""S";"58°29'26.3""W";Floresta - Comuna 10 - Navidad;Christmas;Experimental
8;"34°34'4.34""S";"58°29'45.20""W";Villa Urquiza - Comuna 12 - Navidad;Christmas;Experimental
7;"34°37'03.2""S";"58°26'52.6""W";Caballito - Comuna 6 - Año nuevo;New Year;Experimental
8;"34°35'14.0""S";"58°26'38.6""W";Chacarita - Comuna 15 - Año nuevo;New Year;Experimental
9;"34°34'33.5""S";"58°26'59.8""W";Colegiales - Comuna 13 - Año nuevo;New Year;Experimental
1;"34°36'39.9""S";"58°25'46.5""W";APrA;Normal Day;Control
3;"34°36'33.9""S";"58°26'57.7""W";APrA;Normal Day;Control
6;"34°37'14.6""S";"58°30'25.1""W";APrA;Normal Day;Control
9;"34°36'06.7""S";"58°31'11.9""W";APrA;Normal Day;Control
11;"34°37'39.7""S";"58°29'55.4""W";APrA;Normal Day;Control
12;"34°37'04.1""S";"58°29'15.4""W";APrA;Normal Day;Control
13;"34°37'13.1""S";"58°27'13.3""W";APrA;Normal Day;Control
14;"34°37'15.4""S";"58°26'41.0""W";APrA;Normal Day;Control
17;"34°34'00.8""S";"58°30'13.0""W";APrA;Normal Day;Control
19;"34°35'25.2""S";"58°25'57.3""W";APrA;Normal Day;Control
20;"34°34'17.4""S";"58°27'30.7""W";APrA;Normal Day;Control
